Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
Process Graph Metrics,without_noise,log_8_1687181927,0.1,300.0,400.0,,"[551, 701, 924, 2026]","[778, 1133]",0.3333333333333333,77.0,00:00:03,3.5569353429600596,0.0015634880628395866,,,,,,,
Martjushev ADWIN J,without_noise,log_70_1687182031,0.4,200.0,500.0,50.0,[],[608],,,00:00:07,7.914286822080612,0.005380208580612245,,,,,,,
Earth Mover's Distance,without_noise,log_63_1687182017,,,,,"[866, 1760, 2828, 3328, 3584]","[727, 968, 1760, 2588, 2871]",0.6,48.333333333333336,00:00:26,26.668201506137848,0.0062793033920738985,300.0,2.0,,,,,
LCDD,without_noise,log_10_1687181929,,,,,"[100, 204, 305, 408, 508, 616, 727, 834, 940, 1064, 1166, 1266, 1373, 1479, 1579, 1679, 1780, 1886, 1987, 2088, 2222, 2327, 2437, 2542]","[1446, 1821]",0.15384615384615385,37.0,00:00:00,0.12188057228922844,4.7295526693530634e-05,,,100.0,100.0,5.0,,
Process Graph Metrics,without_noise,log_73_1687182035,0.05,100.0,500.0,,"[1526, 2674, 3325]","[1478, 2417, 2951, 3283]",0.5714285714285715,45.0,00:00:03,3.485213457606733,0.0007828421962279274,,,,,,,
Martjushev ADWIN J,without_noise,log_40_1687181982,0.4,100.0,400.0,20.0,"[1219, 2115, 3448]","[1205, 2115, 3442]",1.0,6.666666666666667,00:00:13,13.26572509482503,0.0029512180411179153,,,,,,,
Martjushev ADWIN J,without_noise,log_20_1687181939,0.4,100.0,500.0,20.0,"[1421, 2310, 2816]","[1383, 2319, 2819]",1.0,16.666666666666668,00:00:11,11.751839561387897,0.002988768962713097,,,,,,,
LCDD,without_noise,log_54_1687182005,,,,,[1170],"[1171, 1523, 2987, 3886, 4123]",0.33333333333333337,1.0,00:00:00,0.12127287685871124,2.5149912247762596e-05,,,300.0,300.0,100.0,,
Martjushev ADWIN J,without_noise,log_16_1687181934,0.4,100.0,400.0,10.0,[],"[1218, 1793, 2771]",,,00:00:44,44.517338023521006,0.0110300639305057,,,,,,,
LCDD,without_noise,log_17_1687181934,,,,,"[204, 419, 647, 853, 1109, 1330, 1541, 1750, 1964, 2169, 2375, 2581, 2828, 3045, 3268, 3484, 3688, 3893, 4118, 4334, 4539, 4745]","[975, 1309, 2437, 2652, 3899]",0.37037037037037035,56.4,00:00:00,0.1647820621728897,3.3850053856386544e-05,,,200.0,200.0,100.0,,
Martjushev ADWIN J,without_noise,log_95_1687182068,0.4,400.0,500.0,10.0,[2779],"[561, 936, 2338, 2712, 4212]",0.33333333333333337,67.0,00:02:01,121.76039372012019,0.02158489518172668,,,,,,,
Zheng DBSCAN,without_noise,log_59_1687182010,,,,,"[987.0909090909091, 2082.0, 2255.4, 2403.0, 2630.0, 2776.2, 3102.777777777778]","[788, 1187, 2051, 3036, 3241]",0.5,98.95622895622898,00:00:02,2.2147744316607714,0.0005731817887320837,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_59_1687182010,,,,,"[987.0909090909091, 2112.4615384615386, 2630.0, 3070.12]","[788, 1187, 2051, 3036, 3241]",0.6666666666666665,98.2241491841492,00:00:02,2.2147744316607714,0.0005731817887320837,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_59_1687182010,,,,,"[969.8913043478261, 2112.4615384615386, 3061.4901960784314]","[788, 1187, 2051, 3036, 3241]",0.7499999999999999,89.61434629593202,00:00:02,2.2147744316607714,0.0005731817887320837,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_59_1687182010,,,,,"[969.8913043478261, 2650.2444444444445]","[788, 1187, 2051, 3036, 3241]",0.28571428571428575,181.89130434782612,00:00:02,2.2147744316607714,0.0005731817887320837,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_59_1687182010,,,,,"[969.8913043478261, 2650.2444444444445]","[788, 1187, 2051, 3036, 3241]",0.28571428571428575,181.89130434782612,00:00:02,2.2147744316607714,0.0005731817887320837,,,,,,600.0,300.0
LCDD,without_noise,log_85_1687182048,,,,,"[111, 263, 386, 506, 610, 729, 829, 929, 1036, 1180, 1282, 1388, 1541, 1642, 1743, 1871, 1993, 2197, 2297, 2441]","[1308, 1543]",0.18181818181818182,14.0,00:00:00,0.2845159796997905,0.00011002164721569623,,,100.0,100.0,150.0,,
LCDD,without_noise,log_78_1687182040,,,,,[],[743],,,00:00:00,0.060249775648117065,2.6945337946385093e-05,,,200.0,200.0,150.0,,
Process Graph Metrics,without_noise,log_14_1687181933,0.05,400.0,400.0,,[1226],[1179],1.0,47.0,00:00:02,2.125930587761104,0.0011368612768775958,,,,,,,
LCDD,without_noise,log_69_1687182027,,,,,[1353],"[1354, 1741, 2389, 2676, 3199]",0.33333333333333337,1.0,00:00:00,0.4129571430385113,9.776447515116271e-05,,,200.0,200.0,20.0,,
Bose J,without_noise,log_6_1687181923,,,,,"[448, 2042, 3122, 4052]","[923, 1989, 3141]",0.5714285714285715,36.0,00:02:56,176.31853349041194,0.040063288682211304,200.0,2.0,,,,,
Bose WC,without_noise,log_6_1687181923,,,,,"[2042, 3108]","[923, 1989, 3141]",0.8,43.0,00:02:56,176.32288468722254,0.04006427736587651,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_12_1687181931,0.1,400.0,500.0,,"[716, 1155]","[969, 1263]",0.5,108.0,00:00:01,1.2836203193292022,0.0007231663770868744,,,,,,,
Process Graph Metrics,without_noise,log_59_1687182010,0.05,200.0,400.0,,"[971, 2096, 2408, 3159]","[788, 1187, 2051, 3036, 3241]",0.6666666666666665,103.33333333333333,00:00:34,34.36857352498919,0.008894558365680432,,,,,,,
Process Graph Metrics,without_noise,log_85_1687182048,0.0001,200.0,500.0,,[1434],"[1308, 1543]",0.6666666666666666,109.0,00:00:20,20.85615921858698,0.008065026766661633,,,,,,,
LCDD,without_noise,log_56_1687182007,,,,,"[232, 480, 709, 929, 1139, 1358, 1567, 1775, 2011, 2219, 2436, 2660]","[999, 1336]",0.2857142857142857,46.0,00:00:00,0.07969638146460056,2.9582918138307558e-05,,,200.0,200.0,10.0,,
LCDD,without_noise,log_14_1687181933,,,,,[],[1179],,,00:00:00,0.05052364896982908,2.701799410151288e-05,,,300.0,300.0,200.0,,
Martjushev ADWIN J,without_noise,log_58_1687182010,0.4,400.0,400.0,50.0,[],[566],,,00:00:02,2.118879849091172,0.0012795168170840411,,,,,,,
Martjushev ADWIN J,without_noise,log_45_1687181991,0.4,400.0,500.0,50.0,[542],[546],1.0,4.0,00:00:01,1.6197985028848052,0.0011788926512989848,,,,,,,
Martjushev J,without_noise,log_70_1687182031,0.55,,,,[],[608],,,00:01:12,72.7574163004756,0.0494611939500174,300.0,,,,,,
LCDD,without_noise,log_89_1687182057,,,,,[1143],"[1144, 1943, 2486]",0.5,1.0,00:00:00,0.23052890691906214,7.145967356449539e-05,,,200.0,200.0,100.0,,
Process Graph Metrics,without_noise,log_42_1687181985,0.1,200.0,400.0,,[1650],"[1494, 1841]",0.6666666666666666,156.0,00:00:02,2.343321126885712,0.0009132194570871833,,,,,,,
Martjushev ADWIN J,without_noise,log_29_1687181956,0.4,400.0,400.0,10.0,[],"[516, 766]",,,00:00:12,12.700328888371587,0.008399688418235176,,,,,,,
Process Graph Metrics,without_noise,log_71_1687182031,0.05,100.0,400.0,,"[792, 1167, 2108, 3721]","[940, 1158, 1961, 2167, 3303, 3626]",0.8,77.75,00:00:08,8.940503638237715,0.001981933859064002,,,,,,,
Zheng DBSCAN,without_noise,log_35_1687181968,,,,,"[839.0, 919.0, 1042.0, 3787.0, 4137.0]","[842, 1057, 2418, 2651, 3788, 4180]",0.7272727272727272,15.5,00:00:00,0.832261105068028,0.0001482210338500495,,,,,,400.0,40.0
Zheng DBSCAN,without_noise,log_35_1687181968,,,,,"[879.0, 1042.0, 3787.0, 4137.0]","[842, 1057, 2418, 2651, 3788, 4180]",0.8,24.0,00:00:00,0.832261105068028,0.0001482210338500495,,,,,,400.0,80.0
Zheng DBSCAN,without_noise,log_35_1687181968,,,,,"[960.5, 3787.0, 4137.0]","[842, 1057, 2418, 2651, 3788, 4180]",0.6666666666666666,46.833333333333336,00:00:00,0.832261105068028,0.0001482210338500495,,,,,,400.0,120.0
Zheng DBSCAN,without_noise,log_35_1687181968,,,,,"[960.5, 3787.0, 4137.0]","[842, 1057, 2418, 2651, 3788, 4180]",0.6666666666666666,46.833333333333336,00:00:00,0.832261105068028,0.0001482210338500495,,,,,,400.0,160.0
Zheng DBSCAN,without_noise,log_35_1687181968,,,,,"[960.5, 3787.0, 4137.0]","[842, 1057, 2418, 2651, 3788, 4180]",0.6666666666666666,46.833333333333336,00:00:00,0.832261105068028,0.0001482210338500495,,,,,,400.0,200.0
Martjushev ADWIN J,without_noise,log_69_1687182027,0.4,400.0,500.0,10.0,[1449],"[1354, 1741, 2389, 2676, 3199]",0.33333333333333337,95.0,00:00:42,42.786992630921304,0.01012949636148705,,,,,,,
LCDD,without_noise,log_77_1687182038,,,,,"[192, 559, 661, 767, 1783, 1898, 3136]","[560, 1784, 3134]",0.6,1.3333333333333333,00:00:00,0.18813845980912447,4.1559191475397495e-05,,,100.0,100.0,20.0,,
Process Graph Metrics,without_noise,log_87_1687182053,0.0001,400.0,400.0,,"[1442, 2909, 3646]","[1385, 2862, 3527, 3777]",0.8571428571428571,74.33333333333333,00:00:14,14.59404501132667,0.0031899551937326054,,,,,,,
Process Graph Metrics,without_noise,log_78_1687182040,0.1,300.0,500.0,,[806],[743],1.0,63.0,00:00:08,8.609687686897814,0.0038504864431564466,,,,,,,
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[603.0, 801.1111111111111, 889.0, 997.0, 1171.3333333333333, 1418.8333333333333, 1563.6666666666667, 1644.25, 1782.0, 1975.5, 2241.5]","[1060, 1266]",0.3076923076923077,78.83333333333337,00:00:00,0.7899065362289548,0.000335701885350172,,,,,,500.0,50.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[603.0, 809.9, 1218.142857142857, 1609.7142857142858, 1782.0, 1975.5, 2241.5]","[1060, 1266]",0.22222222222222224,47.85714285714289,00:00:00,0.7899065362289548,0.000335701885350172,,,,,,500.0,100.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[1263.18, 2241.5]","[1060, 1266]",0.5,2.8199999999999363,00:00:00,0.7899065362289548,0.000335701885350172,,,,,,500.0,150.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[1139.7758620689656, 2241.5]","[1060, 1266]",0.5,79.77586206896558,00:00:00,0.7899065362289548,0.000335701885350172,,,,,,500.0,200.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,[1176.5],"[1060, 1266]",0.6666666666666666,89.5,00:00:00,0.7899065362289548,0.000335701885350172,,,,,,500.0,250.0
Maaradji Runs,without_noise,log_21_1687181940,,,,,[668],[668],1.0,0.0,00:01:17,77.54507727455348,0.04205264494281642,150.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_61_1687182016,0.4,200.0,500.0,20.0,[],"[1128, 1415]",,,00:00:03,3.1947998264804482,0.0012431127729495908,,,,,,,
Process Graph Metrics,without_noise,log_97_1687182074,0.05,400.0,400.0,,"[1193, 2421, 3588]","[1151, 2334, 3469, 3787]",0.8571428571428571,82.66666666666667,00:00:19,19.2633952004835,0.0038642718556636912,,,,,,,
LCDD,without_noise,log_86_1687182053,,,,,[941],[931],1.0,10.0,00:00:00,0.041248188354074955,2.402340614681127e-05,,,100.0,100.0,10.0,,
Process Graph Metrics,without_noise,log_70_1687182031,0.0001,300.0,400.0,,[676],[608],1.0,68.0,00:00:01,1.4589799689128995,0.0009918286668340582,,,,,,,
LCDD,without_noise,log_5_1687181922,,,,,"[247, 495, 701, 901, 1128]","[689, 980]",0.5714285714285715,45.5,00:00:00,0.06687619537115097,3.940848283509191e-05,,,200.0,200.0,100.0,,
Martjushev ADWIN J,without_noise,log_37_1687181973,0.4,300.0,500.0,50.0,[1349],[1428],1.0,79.0,00:00:16,16.57798575796187,0.008016434118937075,,,,,,,
Process Graph Metrics,without_noise,log_76_1687182037,0.1,200.0,400.0,,"[1096, 1781, 2971]","[1056, 1741, 2740]",0.6666666666666666,40.0,00:00:03,3.896229221485555,0.0011904152830692193,,,,,,,
Process Graph Metrics,without_noise,log_74_1687182036,0.05,200.0,400.0,,[906],[839],1.0,67.0,00:00:03,3.411389916203916,0.0024314967328609525,,,,,,,
Martjushev ADWIN J,without_noise,log_20_1687181939,0.4,300.0,400.0,50.0,"[1149, 2321, 2813]","[1383, 2319, 2819]",0.6666666666666666,4.0,00:00:09,9.34045284986496,0.002375496655611638,,,,,,,
Process Graph Metrics,without_noise,log_8_1687181927,0.1,100.0,500.0,,"[716, 932, 1148, 1908]","[778, 1133]",0.6666666666666666,38.5,00:00:03,3.0414879405871034,0.0013369177760822431,,,,,,,
LCDD,without_noise,log_85_1687182048,,,,,"[111, 263, 386, 506, 610, 729, 829, 929, 1036, 1180, 1282, 1388, 1541, 1642, 1743, 1871, 1993, 2197, 2297, 2441]","[1308, 1543]",0.18181818181818182,14.0,00:00:00,0.23554059490561485,9.108298333550458e-05,,,100.0,100.0,200.0,,
Martjushev ADWIN J,without_noise,log_97_1687182074,0.4,400.0,500.0,20.0,"[1174, 2230, 3471]","[1151, 2334, 3469, 3787]",0.8571428571428571,43.0,00:00:24,24.395833333022892,0.0048938482112382935,,,,,,,
Process Graph Metrics,without_noise,log_5_1687181922,0.05,400.0,500.0,,[922],"[689, 980]",0.6666666666666666,58.0,00:00:25,25.817406526766717,0.01521355717546654,,,,,,,
LCDD,without_noise,log_1_1687181916,,,,,"[1291, 2436]","[1292, 2437, 3613]",0.8,1.0,00:00:00,0.29886261094361544,6.302459108891089e-05,,,300.0,300.0,200.0,,
Bose J,without_noise,log_78_1687182040,,,,,[742],[743],1.0,1.0,00:00:14,14.003946433775127,0.00626294563227868,200.0,2.0,,,,,
Bose WC,without_noise,log_78_1687182040,,,,,[698],[743],1.0,45.0,00:00:14,14.036219337023795,0.006277378952157332,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_89_1687182057,0.1,300.0,500.0,,"[672, 2743]","[1144, 1943, 2486]",,,00:00:02,2.9163823798298836,0.0009040242962894866,,,,,,,
Process Graph Metrics,without_noise,log_61_1687182016,0.0001,100.0,400.0,,[1517],"[1128, 1415]",0.6666666666666666,102.0,00:00:04,4.784556640312076,0.0018616951907829088,,,,,,,
Martjushev J,without_noise,log_97_1687182074,0.55,,,,"[1110, 2302]","[1151, 2334, 3469, 3787]",0.6666666666666666,36.5,00:03:59,239.21179467998445,0.04798631788966589,100.0,,,,,,
Maaradji Runs,without_noise,log_66_1687182022,,,,,[],"[846, 1221]",,,00:00:21,21.810136669315398,0.012607015415789248,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_8_1687181927,0.005,100.0,400.0,,"[561, 936, 2063]","[778, 1133]",0.4,158.0,00:00:05,5.696602896787226,0.0025040012733130662,,,,,,,
Martjushev ADWIN J,without_noise,log_4_1687181921,0.4,200.0,400.0,50.0,[],"[1313, 1543]",,,00:00:04,4.188681462779641,0.0015896324336924633,,,,,,,
Process Graph Metrics,without_noise,log_7_1687181925,0.005,100.0,400.0,,"[997, 2053, 3415]","[920, 1720, 2103, 3052, 3413]",0.7499999999999999,43.0,00:00:09,9.981138526462018,0.0021008500371420794,,,,,,,
Martjushev ADWIN J,without_noise,log_36_1687181970,0.4,300.0,500.0,10.0,"[749, 1430, 2271, 3012]","[754, 1601, 2593]",0.5714285714285715,88.0,00:00:59,59.8378000035882,0.016247026881234916,,,,,,,
Process Graph Metrics,without_noise,log_13_1687181932,0.1,400.0,500.0,,"[716, 1501, 3041]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,122.66666666666667,00:00:02,2.603640361689031,0.0005864054868668989,,,,,,,
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,200.0,400.0,20.0,[],[1012],,,00:00:03,3.1679900251328945,0.0018690206637952181,,,,,,,
Martjushev ADWIN J,without_noise,log_54_1687182005,0.4,400.0,500.0,50.0,"[1249, 2950, 4051]","[1171, 1523, 2987, 3886, 4123]",0.7499999999999999,62.333333333333336,00:00:09,9.001814985647798,0.0018668218551737448,,,,,,,
Martjushev ADWIN J,without_noise,log_90_1687182058,0.4,300.0,500.0,50.0,[],[652],,,00:00:06,6.982923035509884,0.0037162975175677937,,,,,,,
Martjushev ADWIN J,without_noise,log_62_1687182017,0.4,200.0,400.0,50.0,[399],[540],1.0,141.0,00:00:08,8.277218227274716,0.005160360490819648,,,,,,,
LCDD,without_noise,log_63_1687182017,,,,,"[803, 1862, 2023, 2683]","[727, 968, 1760, 2588, 2871]",0.6666666666666665,91.0,00:00:00,0.10798255167901516,2.5425606705678164e-05,,,100.0,100.0,50.0,,
Process Graph Metrics,without_noise,log_66_1687182022,0.0001,200.0,500.0,,[],"[846, 1221]",,,00:00:32,32.661062938161194,0.018879227131885085,,,,,,,
Martjushev ADWIN J,without_noise,log_40_1687181982,0.4,400.0,400.0,50.0,"[1205, 2113, 3438]","[1205, 2115, 3442]",1.0,2.0,00:00:10,10.133549377322197,0.0022544047558002663,,,,,,,
LCDD,without_noise,log_8_1687181927,,,,,"[110, 342, 505, 657, 779, 905, 1029, 1129, 1405, 1509, 1639, 1769, 1873, 2268]","[778, 1133]",0.25,2.5,00:00:00,0.2200640644878149,9.673145691772084e-05,,,100.0,100.0,20.0,,
LCDD,without_noise,log_58_1687182010,,,,,[566],[566],1.0,0.0,00:00:00,0.02744939923286438,1.657572417443501e-05,,,100.0,100.0,150.0,,
LCDD,without_noise,log_71_1687182031,,,,,"[939, 1139, 1339, 1960, 2160, 3303, 3503, 3703]","[940, 1158, 1961, 2167, 3303, 3626]",0.8571428571428571,17.5,00:00:00,0.14869740419089794,3.296329066524007e-05,,,200.0,200.0,5.0,,
LCDD,without_noise,log_97_1687182074,,,,,"[1150, 2333, 3468, 3768]","[1151, 2334, 3469, 3787]",1.0,5.5,00:00:00,0.23051246162503958,4.62412159729267e-05,,,300.0,300.0,5.0,,
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.2855306761339307,0.00011867442898334609,,,,,,500.0,50.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.2855306761339307,0.00011867442898334609,,,,,,500.0,100.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.2855306761339307,0.00011867442898334609,,,,,,500.0,150.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.2855306761339307,0.00011867442898334609,,,,,,500.0,200.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,[1141.6666666666667],"[994, 1238]",0.6666666666666666,96.33333333333326,00:00:00,0.2855306761339307,0.00011867442898334609,,,,,,500.0,250.0
Maaradji Runs,without_noise,log_25_1687181949,,,,,[],"[783, 1163]",,,00:10:02,602.7419159291312,0.33541564603735735,250.0,2.0,,,,,
LCDD,without_noise,log_27_1687181952,,,,,[605],"[605, 944, 1861, 2203, 3080, 3444]",0.2857142857142857,0.0,00:00:00,0.09201819822192192,2.204556737468182e-05,,,100.0,100.0,5.0,,
Process Graph Metrics,without_noise,log_2_1687181920,0.0001,100.0,400.0,,[1175],[1011],1.0,164.0,00:00:01,1.2846452742815018,0.0008208596001798733,,,,,,,
LCDD,without_noise,log_68_1687182024,,,,,"[311, 667, 979, 1288, 1706, 2037, 2498, 2800, 3186, 3757, 4100]","[896, 1272, 1818, 2030, 2923, 3240]",0.7058823529411764,65.83333333333333,00:00:00,0.1516883885487914,3.3581666714366044e-05,,,300.0,300.0,100.0,,
Martjushev ADWIN J,without_noise,log_42_1687181985,0.4,100.0,400.0,10.0,"[1575, 1682]","[1494, 1841]",1.0,120.0,00:00:12,12.491080124862492,0.004867918988644775,,,,,,,
Martjushev ADWIN J,without_noise,log_98_1687182076,0.4,200.0,500.0,20.0,[],"[896, 1153]",,,00:00:10,10.584092716686428,0.0060034558801397775,,,,,,,
Bose J,without_noise,log_56_1687182007,,,,,[1202],"[999, 1336]",0.6666666666666666,134.0,00:01:33,93.4366522654891,0.03468324137545995,200.0,2.0,,,,,
Bose WC,without_noise,log_56_1687182007,,,,,[1202],"[999, 1336]",0.6666666666666666,134.0,00:01:47,107.40055097453296,0.039866574229596496,200.0,2.0,,,,,
Process Graph Metrics,without_noise,log_12_1687181931,0.0001,200.0,500.0,,[1320],"[969, 1263]",0.6666666666666666,57.0,00:00:04,4.330962155945599,0.0024399786794059714,,,,,,,
Process Graph Metrics,without_noise,log_80_1687182042,0.0001,300.0,500.0,,[1017],[981],1.0,36.0,00:00:08,8.390313365496695,0.003959562701980507,,,,,,,
Process Graph Metrics,without_noise,log_89_1687182057,0.005,200.0,500.0,,[2007],"[1144, 1943, 2486]",0.5,64.0,00:00:06,6.767534066922963,0.0020978096921645886,,,,,,,
LCDD,without_noise,log_80_1687182042,,,,,[980],[981],1.0,1.0,00:00:00,0.09813569858670235,4.631226927168587e-05,,,300.0,300.0,150.0,,
Maaradji Runs,without_noise,log_47_1687181994,,,,,[1108],"[1076, 1388]",0.6666666666666666,32.0,00:26:38,1598.2990852007642,0.6375345373756539,300.0,2.0,,,,,
LCDD,without_noise,log_31_1687181960,,,,,"[487, 1042, 1329, 1867, 2068, 2336, 3337, 3556, 3756]","[1043, 1868, 2070, 3338, 3677]",0.7142857142857143,16.8,00:00:00,0.37040048744529486,8.599964881478868e-05,,,200.0,200.0,200.0,,
Process Graph Metrics,without_noise,log_17_1687181934,0.0001,300.0,400.0,,[],"[975, 1309, 2437, 2652, 3899]",,,00:00:57,57.338402181863785,0.011778636438345067,,,,,,,
Process Graph Metrics,without_noise,log_75_1687182036,0.1,200.0,500.0,,[1221],"[1099, 1445]",0.6666666666666666,122.0,00:00:02,2.1047445656731725,0.000905266479859429,,,,,,,
Martjushev J,without_noise,log_70_1687182031,0.55,,,,[],[608],,,00:01:02,62.00926010403782,0.04215449361253421,200.0,,,,,,
Process Graph Metrics,without_noise,log_27_1687181952,0.1,100.0,400.0,,"[180, 720, 2060, 3471]","[605, 944, 1861, 2203, 3080, 3444]",0.6,95.0,00:00:05,5.459416605532169,0.0013079579792841804,,,,,,,
Martjushev ADWIN J,without_noise,log_6_1687181923,0.4,100.0,400.0,50.0,[],"[923, 1989, 3141]",,,00:00:39,39.25856336206198,0.008920373406512605,,,,,,,
Martjushev ADWIN J,without_noise,log_12_1687181931,0.4,400.0,400.0,50.0,[],"[969, 1263]",,,00:00:00,0.9982626894488931,0.0005624015151824749,,,,,,,
Process Graph Metrics,without_noise,log_3_1687181920,0.0001,200.0,500.0,,[1341],"[1041, 1298]",0.6666666666666666,43.0,00:00:24,24.339474372565746,0.010731690640461087,,,,,,,
Martjushev ADWIN J,without_noise,log_55_1687182006,0.4,100.0,500.0,50.0,"[299, 1150]","[1185, 1392]",0.5,35.0,00:00:02,2.2922190940007567,0.0008329284498549261,,,,,,,
Zheng DBSCAN,without_noise,log_9_1687181928,,,,,"[555.0, 654.0, 852.0, 970.5, 1123.3333333333333, 1915.0, 2695.0, 2988.0]","[1135, 1916, 2696, 2989]",0.6666666666666666,3.6666666666666856,00:00:00,0.6603273171931505,0.0001471973511353434,,,,,,300.0,30.0
Zheng DBSCAN,without_noise,log_9_1687181928,,,,,"[555.0, 654.0, 852.0, 970.5, 1123.3333333333333, 1915.0, 2695.0, 2988.0]","[1135, 1916, 2696, 2989]",0.6666666666666666,3.6666666666666856,00:00:00,0.6603273171931505,0.0001471973511353434,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_9_1687181928,,,,,"[555.0, 654.0, 852.0, 970.5, 1123.3333333333333, 1915.0, 2695.0, 2988.0]","[1135, 1916, 2696, 2989]",0.6666666666666666,3.6666666666666856,00:00:00,0.6603273171931505,0.0001471973511353434,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_9_1687181928,,,,,"[604.5, 931.0, 1123.3333333333333, 1915.0, 2695.0, 2988.0]","[1135, 1916, 2696, 2989]",0.8,3.6666666666666856,00:00:00,0.6603273171931505,0.0001471973511353434,,,,,,300.0,120.0
